,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
0,meanMLP,HCP ICA,0.8722270239124172,0.8263473053892215,13.693027257919312,0.00023037088131476304,9282,None
1,meanMLP,HCP ICA,0.8928262748487468,0.7964071856287425,14.076810836791992,0.00023492082150396471,9282,None
2,meanMLP,HCP ICA,0.8761163929703255,0.8323353293413174,14.548487424850464,0.0002399775796307775,9282,None
3,meanMLP,HCP ICA,0.8732353788533563,0.8203592814371258,20.37863564491272,0.00023720792667594496,9282,None
4,meanMLP,HCP ICA,0.8748199366176894,0.8143712574850299,11.88908553123474,0.00023394287703279963,9282,None
5,meanMLP,HCP ICA,0.8797176606165369,0.7964071856287425,12.546189546585085,0.00024181211779931348,9282,None
6,meanMLP,HCP ICA,0.8759723422644771,0.8323353293413174,12.955754518508911,0.0002318413671619164,9282,None
7,meanMLP,HCP ICA,0.865888792855085,0.8203592814371258,9.430091619491575,0.000241433788916308,9282,None
8,meanMLP,HCP ICA,0.8641601843849035,0.8203592814371258,14.089099407196043,0.00023606151877763029,9282,None
9,meanMLP,HCP ICA,0.8595505617977528,0.8023952095808383,15.672523021697998,0.00023799884818985077,9282,None
10,meanMLP,HCP ICA,0.8948429847306252,0.8323353293413174,11.822848081588743,0.0002108048536106498,9282,None
11,meanMLP,HCP ICA,0.9010371650821088,0.8263473053892215,12.784423828125,0.00023903104359518268,9282,None
12,meanMLP,HCP ICA,0.9102564102564102,0.844311377245509,10.14008355140686,0.0001905364190746924,9282,None
13,meanMLP,HCP ICA,0.904494382022472,0.8023952095808383,12.912442445755005,0.0001937400795028595,9282,None
14,meanMLP,HCP ICA,0.8975799481417458,0.8323353293413174,16.740914344787598,0.00019934220228366508,9282,None
15,meanMLP,HCP ICA,0.905502736963411,0.8203592814371258,12.077850580215454,0.00019476799193970457,9282,None
16,meanMLP,HCP ICA,0.9141457793143186,0.8203592814371258,9.940303325653076,0.0001948408024039811,9282,None
17,meanMLP,HCP ICA,0.8922500720253528,0.8083832335329342,10.413514614105225,0.0001900167522316207,9282,None
18,meanMLP,HCP ICA,0.9080956496686834,0.844311377245509,18.19257688522339,0.00019510206348167923,9282,None
19,meanMLP,HCP ICA,0.897579948141746,0.7964071856287425,13.49781084060669,0.00019438823540053683,9282,None
20,meanMLP,HCP ICA,0.935321233074042,0.8622754491017964,10.437591791152954,0.00019588727437093583,9282,None
